[Thu Jun 18 17:50:26.188965 2020] [mpm_prefork:notice] [pid 23] AH00163: Apache/2.4.29 (Ubuntu) configured -- resuming normal operations
[Thu Jun 18 17:50:26.189180 2020] [core:notice] [pid 23] AH00094: Command line: '/usr/sbin/apache2'
[Thu Jun 18 17:53:05.128784 2020] [php7:emerg] [pid 28] [client 172.19.0.1:50822] PHP Parse error:  syntax error, unexpected '<', expecting end of file in /var/www/html/index.php on line 28
[Thu Jun 18 17:57:44.498374 2020] [php7:emerg] [pid 37] [client 172.19.0.1:51176] PHP Parse error:  syntax error, unexpected '<', expecting end of file in /var/www/html/index.php on line 45
[Thu Jun 18 17:57:45.258161 2020] [php7:emerg] [pid 30] [client 172.19.0.1:51180] PHP Parse error:  syntax error, unexpected '<', expecting end of file in /var/www/html/index.php on line 45
[Thu Jun 18 17:58:07.268721 2020] [php7:notice] [pid 26] [client 172.19.0.1:51184] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 33
[Thu Jun 18 17:58:07.268766 2020] [php7:notice] [pid 26] [client 172.19.0.1:51184] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 36
[Thu Jun 18 17:58:07.268791 2020] [php7:warn] [pid 26] [client 172.19.0.1:51184] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 36
[Thu Jun 18 17:58:19.394620 2020] [php7:notice] [pid 36] [client 172.19.0.1:51206] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 30
[Thu Jun 18 17:59:07.936869 2020] [php7:notice] [pid 29] [client 172.19.0.1:51230] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 30
[Thu Jun 18 18:04:20.377614 2020] [php7:notice] [pid 37] [client 172.19.0.1:51774] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 30
[Thu Jun 18 18:07:30.197409 2020] [php7:notice] [pid 28] [client 172.19.0.1:51852] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 30
[Thu Jun 18 18:08:25.576880 2020] [php7:emerg] [pid 36] [client 172.19.0.1:51900] PHP Parse error:  syntax error, unexpected '(', expecting variable (T_VARIABLE) or '{' or '$' in /var/www/html/index.php on line 32
[Thu Jun 18 18:08:27.098671 2020] [php7:emerg] [pid 37] [client 172.19.0.1:51904] PHP Parse error:  syntax error, unexpected '(', expecting variable (T_VARIABLE) or '{' or '$' in /var/www/html/index.php on line 32
[Thu Jun 18 18:10:50.461117 2020] [php7:notice] [pid 38] [client 172.19.0.1:51920] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 33
[Thu Jun 18 18:10:51.695299 2020] [php7:notice] [pid 38] [client 172.19.0.1:51920] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 33, referer: http://127.0.0.1:4444/
[Thu Jun 18 18:10:53.175930 2020] [php7:notice] [pid 38] [client 172.19.0.1:51920] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 33, referer: http://127.0.0.1:4444/index.php
[Thu Jun 18 18:10:56.976499 2020] [php7:notice] [pid 38] [client 172.19.0.1:51920] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 33, referer: http://127.0.0.1:4444/
[Fri Jun 19 14:03:00.993542 2020] [php7:notice] [pid 34] [client 172.19.0.1:52268] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 25, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:03:00.995478 2020] [php7:notice] [pid 34] [client 172.19.0.1:52268] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 36, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:03:02.310707 2020] [php7:notice] [pid 34] [client 172.19.0.1:52268] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 25, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:03:02.312998 2020] [php7:notice] [pid 34] [client 172.19.0.1:52268] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 36, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:03:03.328436 2020] [php7:notice] [pid 34] [client 172.19.0.1:52268] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 25, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:03:03.330372 2020] [php7:notice] [pid 34] [client 172.19.0.1:52268] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 36, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:04:45.256537 2020] [php7:notice] [pid 26] [client 172.19.0.1:52392] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 25, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:04:45.257332 2020] [php7:notice] [pid 26] [client 172.19.0.1:52392] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 36, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:04:46.805952 2020] [php7:notice] [pid 26] [client 172.19.0.1:52392] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 25, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:04:46.809585 2020] [php7:notice] [pid 26] [client 172.19.0.1:52392] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 36, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:04:46.809689 2020] [php7:notice] [pid 26] [client 172.19.0.1:52392] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 44, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:04:49.099662 2020] [php7:notice] [pid 26] [client 172.19.0.1:52392] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 25, referer: http://127.0.0.1:4444/index.php
